Generation,Agent Count,Mutation Rate,Best fitness,Avg. Fitness,Max. step count,Finished count
2,100,0.02,0.01353807,0.01028255,600,0
3,100,0.02,0.01896156,0.01861685,600,0
4,100,0.02,0.02185934,0.02185932,600,0
5,100,0.02,0.00578009,0.00578010,600,0
6,100,0.02,0.00578633,0.00578633,600,0
7,100,0.02,0.10871170,0.10276370,600,0
8,100,0.02,0.01557732,0.01557732,600,0
9,100,0.02,0.01610961,0.01527383,600,0
10,100,0.02,10.76563000,0.28715970,600,2
11,100,0.02,5.72589800,5.26481900,600,92
12,100,0.02,0.01824174,0.01819149,600,0
13,100,0.02,0.00578633,0.00578633,600,0
14,100,0.02,0.03213426,0.03213429,600,0
15,100,0.02,0.00592054,0.00592054,600,0
16,100,0.02,0.05375690,0.05061515,600,0
17,100,0.02,0.01557732,0.01557732,600,0
18,100,0.02,0.07162366,0.06708744,600,0
19,100,0.02,0.10871170,0.10446310,600,0
20,100,0.02,0.05170132,0.04658327,600,0
21,100,0.02,0.03568828,0.03499321,600,0
22,100,0.02,40.06250000,37.03774000,600,95
23,100,0.02,0.10238460,0.08743647,600,0
24,100,0.02,0.70616070,0.62941820,600,0
25,100,0.02,0.07549968,0.07236683,600,0
26,100,0.02,0.01411521,0.01375152,600,0
27,100,0.02,0.07911137,0.04648209,600,0
28,100,0.02,0.10174820,0.09508526,600,0
29,100,0.02,0.05216475,0.04039238,600,0
30,100,0.02,1.37637900,0.02587492,600,1
31,100,0.02,0.11752150,0.11376970,600,0
32,100,0.02,1.56532300,1.28672300,600,88
33,100,0.02,1.50299300,1.14818000,600,81
34,100,0.02,0.02674725,0.02659491,600,0
35,100,0.02,1.62000100,0.10351970,600,3
36,100,0.02,1.51020400,1.16675500,600,77
37,100,0.02,0.01993642,0.01849247,600,0
38,100,0.02,0.05165436,0.04734734,600,0
39,100,0.02,0.00972387,0.00967821,600,0
40,100,0.02,0.02019594,0.01833577,600,0
41,100,0.02,6.16528900,1.03770800,600,18
42,100,0.02,0.05357474,0.05205662,600,0
43,100,0.02,0.09113830,0.05324528,600,0
44,100,0.02,1.90703000,0.07108716,600,1
45,100,0.02,1.92455600,1.35352500,600,72
46,100,0.02,0.09826937,0.02487178,600,0
47,100,0.02,3.04081600,1.87263000,600,85
48,100,0.02,0.20850130,0.17419270,600,0
49,100,0.02,10001.00000000,4526.00000000,600,100
50,100,0.02,3.22766800,2.86691300,600,91
51,100,0.02,0.70607170,0.62428670,600,0
52,100,0.02,3.29568400,2.97731900,600,93
53,100,0.02,0.10807820,0.10807810,600,0
54,100,0.02,0.05356268,0.05326650,600,0
55,100,0.02,4.42935500,3.49589300,600,90
56,100,0.02,0.01376662,0.01369970,600,0
57,100,0.02,0.03366094,0.03358536,600,0
58,100,0.02,1.94259600,1.75548600,600,91
59,100,0.02,4.69822500,3.67079400,600,84
60,100,0.02,1.94259600,1.77700400,600,93
61,100,0.02,0.02361601,0.02360260,600,0
62,100,0.02,3.22766800,2.97938100,600,94
63,100,0.02,0.01993642,0.01881123,600,0
64,100,0.02,0.45896300,0.19606950,600,0
65,100,0.02,0.03210156,0.01543301,600,0
66,100,0.02,0.02375178,0.02208748,600,0
67,100,0.02,0.01192237,0.01190289,600,0
68,100,0.02,6.66893400,0.46561200,600,6
69,100,0.02,1.96116900,1.84020400,600,98
70,100,0.02,1.67182300,1.35168000,600,93
71,100,0.02,0.02365599,0.02364524,600,0
72,100,0.02,0.00807731,0.00804520,600,0
